항공사,출발지공항,스케줄타임
대한항공,방콕/수완나품,202403071720
대한항공,후쿠오카,202403071720
대한항공,덴파사르,202403071740
대한항공,푸켓,202403071745
대한항공,아부다비,202403071745
대한항공,호찌민,202403071755
대한항공,오클랜드(뉴질랜드),202403071755
대한항공,하노이,202403071805
대한항공,치앙마이,202403071805
대한항공,호찌민,202403071805
대한항공,밴쿠버,202403071820
대한항공,상하이/푸동,202403071825
대한항공,다낭,202403071830
대한항공,나트랑,202403071830
대한항공,싱가포르,202403071835
대한항공,마닐라,202403071835
대한항공,댈러스포트워스,202403071835
대한항공,하노이,202403071840
대한항공,후쿠오카,202403071840
대한항공,도쿄/나리타,202403071845
대한항공,애틀랜타,202403071845
대한항공,시드니,202403071845
대한항공,세부,202403071850
대한항공,프놈펜,202403071855
대한항공,나고야,202403071900
대한항공,베이징/서우두,202403071900
대한항공,상하이/푸동,202403071905
대한항공,오사카/ 간사이,202403071905
대한항공,방콕/수완나품,202403071905
대한항공,대구,202403071925
대한항공,미니애폴리스,202403071925
대한항공,김해,202403071935
대한항공,호찌민,202403071935
대한항공,비엔티안,202403071935
대한항공,로스앤젤레스,202403071940
대한항공,브리즈번,202403071945
대한항공,마닐라,202403071950
대한항공,홍콩,202403072000
대한항공,세부,202403072005
대한항공,시애틀,202403072005
대한항공,방콕/수완나품,202403072010
대한항공,방콕/수완나품,202403072015
대한항공,뉴욕/존에프케네디,202403072035
대한항공,호놀룰루,202403072035
대한항공,도쿄/하네다,202403072040
대한항공,타이베이,202403072055
대한항공,라스베이거스,202403072100
대한항공,다낭,202403072110
대한항공,클라크필드,202403072135
대한항공,마카오,202403072205
대한항공,싱가포르,202403072310
대한항공,두바이,202403072340
대한항공,암스테르담,202403080055
대한항공,나트랑,202403080615
대한항공,후쿠오카,202403080650
대한항공,김해,202403080700
대한항공,키타큐슈,202403080705
대한항공,옌타이,202403080725
대한항공,도쿄/나리타,202403080730
대한항공,마닐라,202403080745
대한항공,신 울란바토르,202403080745
대한항공,베이징/서우두,202403080755
대한항공,후쿠오카,202403080800
대한항공,하노이,202403080805
대한항공,오키나와,202403080805
대한항공,선전,202403080815
대한항공,홍콩,202403080820
대한항공,김해,202403080825
대한항공,상하이/푸동,202403080825
대한항공,삿포로,202403080830
대한항공,칭다오,202403080830
대한항공,오카야마,202403080845
대한항공,선양(심양),202403080850
대한항공,오사카/ 간사이,202403080850
대한항공,광저우,202403080855
대한항공,장사,202403080855
대한항공,상하이/푸동,202403080855
대한항공,오사카/ 간사이,202403080900
대한항공,타이베이,202403080900
대한항공,칭다오,202403080905
대한항공,호찌민,202403080910
대한항공,방콕/수완나품,202403080915
대한항공,괌,202403080915
대한항공,우한,202403080915
대한항공,시안,202403080920
대한항공,옌지(연길),202403080925
대한항공,보스턴,202403080930
대한항공,애틀랜타,202403080935
대한항공,디트로이트,202403080935
대한항공,괌,202403080935
대한항공,타이베이,202403080940
대한항공,싱가포르,202403080950
대한항공,도쿄/나리타,202403080955
대한항공,뉴욕/존에프케네디,202403081000
대한항공,삿포로,202403081005
대한항공,샤먼,202403081005
대한항공,오키나와,202403081010
대한항공,워싱턴,202403081015
대한항공,톈진,202403081015
대한항공,호찌민,202403081015
대한항공,토론토,202403081020
대한항공,난징,202403081030
대한항공,나고야,202403081035
대한항공,자카르타/수카르노하타,202403081035
대한항공,하노이,202403081035
대한항공,홍콩,202403081040
대한항공,시카고/오헤어,202403081040
대한항공,하이커우,202403081045
대한항공,다낭,202403081045
대한항공,오사카/ 간사이,202403081050
대한항공,런던/히드로,202403081055
대한항공,후쿠오카,202403081105
대한항공,가고시마,202403081105
대한항공,타슈켄트,202403081105
대한항공,쿠알라룸푸르,202403081105
대한항공,다낭,202403081110
대한항공,베이징/서우두,202403081110
대한항공,프라하,202403081110
대한항공,상하이/푸동,202403081110
대한항공,프랑크푸르트,202403081130
대한항공,파리/샤를드골,202403081145
대한항공,항저우,202403081155
대한항공,옌타이,202403081155
대한항공,칭다오,202403081200
대한항공,바르셀로나,202403081205
대한항공,비엔나,202403081205
대한항공,파리/샤를드골,202403081210
대한항공,밀라노,202403081210
대한항공,가오슝,202403081215
대한항공,상하이/푸동,202403081215
대한항공,델리,202403081220
대한항공,타이베이,202403081225
대한항공,두바이,202403081245
대한항공,다롄(대련),202403081250
대한항공,삿포로,202403081255
대한항공,상하이/푸동,202403081255
대한항공,칭다오,202403081305
대한항공,후쿠오카,202403081310
대한항공,신 울란바토르,202403081320
대한항공,카트만두,202403081325
대한항공,도쿄/나리타,202403081335
대한항공,이스탄불,202403081345
대한항공,웨이하이,202403081400
대한항공,김해,202403081415
대한항공,시안,202403081420
대한항공,로스앤젤레스,202403081430
대한항공,선양(심양),202403081430
대한항공,상하이/푸동,202403081430
대한항공,자카르타/수카르노하타,202403081505
대한항공,오사카/ 간사이,202403081510
대한항공,푸꾸옥,202403081545
대한항공,시애틀,202403081600
대한항공,샌프란시스코,202403081600
대한항공,타이베이,202403081615
대한항공,광저우,202403081615
대한항공,상하이/푸동,202403081620
대한항공,호찌민,202403081635
대한항공,쿠알라룸푸르,202403081640
대한항공,칭다오,202403081640
대한항공,푸켓,202403081655
대한항공,도쿄/나리타,202403081655
대한항공,방콕/수완나품,202403081710
대한항공,김해,202403081715
대한항공,방콕/수완나품,202403081720
대한항공,후쿠오카,202403081720
대한항공,덴파사르,202403081740
